CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3529807,12849,172288,11636,18778,24221,70106,47547
3529906,19919,392534,28876,45202,24640,213221,80595
3530003,3066,66425,1954,17447,5454,21898,19671
3530102,29418,653982,46101,124756,83659,293128,106339
3530201,18178,345876,24087,54809,76763,119540,70678
3530300,59333,1810223,190238,37326,397530,954027,231101
3530409,4822,128574,6503,53191,12816,34558,21506
3530508,68788,2120615,216272,139842,457399,1042009,265093
3530607,440769,15386499,2005294,325450,3399422,8138040,1518293
3530706,150713,5873500,753360,190606,1769676,2551100,608758
3530805,92715,4601571,722656,138385,1057957,2245118,437455
3530904,3478,100110,5455,21092,24557,30915,18091
3531001,2252,59748,4749,4996,12808,21480,15714
3531100,55731,1035581,51585,3638,128923,596334,255100
3531209,7964,178328,11300,37957,19487,72837,36746
3531308,50216,1802820,233311,173412,408556,802857,184684
3531407,24794,659134,42371,65169,165167,291252,95175
3531506,19050,534034,48797,45545,34946,325700,79046
3531605,4166,102928,6695,30974,6458,37431,21371
3531704,4608,65312,3333,3110,7850,31183,19836
3531803,58765,3485430,532063,55628,1760346,889956,247436
3531902,32641,1176287,87611,209187,291644,446200,141645
3532009,13458,455896,62278,16456,179057,143894,54211
